iter,ns,epot,ekin,etot,T,t
870,0.00087,[-2466.4500603675842],[331.89978027],[-2134.55028009],[161.84066565],21.961533546447754
880,0.0008799999999999999,[-2477.0881972014904],[342.24890137],[-2134.83929583],[166.88709456],22.261821269989014
890,0.00089,[-2474.398026019335],[341.07546997],[-2133.32255605],[166.31490702],22.562570571899414
900,0.0009,[-2472.7325803637505],[343.1723938],[-2129.56018656],[167.33740709],22.83093571662903
910,0.0009099999999999999,[-2474.7647770643234],[345.73406982],[-2129.03070724],[168.5865292],23.12739372253418
920,0.00092,[-2471.829085826874],[340.88751221],[-2130.94157362],[166.22325523],23.440070867538452
930,0.0009299999999999999,[-2472.851375222206],[343.9677124],[-2128.88366282],[167.72521962],23.721575498580933
940,0.00094,[-2475.689994007349],[347.46002197],[-2128.22997203],[169.4281364],24.043736219406128
950,0.0009499999999999999,[-2466.962492018938],[339.63369751],[-2127.32879451],[165.61187126],24.394392013549805
960,0.00096,[-2470.5766931176186],[341.40673828],[-2129.16995484],[166.47643977],24.65807843208313
970,0.0009699999999999999,[-2481.041062835604],[353.46401978],[-2127.57704306],[172.35580029],24.91391897201538
980,0.00098,[-2466.0185588151217],[342.71185303],[-2123.30670579],[167.11283863],25.231755256652832
990,0.00099,[-2449.103657528758],[326.33764648],[-2122.76601104],[159.12846309],25.564236164093018
1000,0.001,[-2458.290006607771],[336.33230591],[-2121.9577007],[164.00204973],25.839463472366333
